,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
4690,4692,Cars: Mater-National Championship,PS3,2007.0,Racing,THQ,0.37,0.01,0.0,0.03,0.41,no_data
4691,4693,MLB 10: The Show,PS2,2010.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,no_data
4692,4694,Wheel of Fortune: 2nd Edition,PS,2000.0,Misc,Hasbro Interactive,0.23,0.16,0.0,0.03,0.41,no_data
4693,4695,Tom Clancy's Rainbow Six: Lockdown,XB,2005.0,Shooter,Ubisoft,0.26,0.13,0.0,0.02,0.41,"Tom Clancy's
Rainbow Six
Lockdown
Développeur
Red Storm Entertainment
Gameloft (mobile)
Éditeur
Ubisoft
Gameloft (mobile)
Producteur
Deke Waters
Stuart White
Date de sortie
Mobile
AN : 9 juin 2005

PlayStation 2 & Xbox
AN : 6 septembre 2005
EUR : 9 septembre 2005
JAP : 22 septembre 2005 (Xbox seulement)

GameCube
AN : 27 septembre 2005
EUR : 7 octobre 2005

Microsoft Windows
AN : 16 février 2006
EUR : 17 février 2006
Genre
FPS tactique
Mode de jeu
Un joueur, multijoueur
Plateforme
Ordinateur(s) :
Microsoft Windows
Console(s) :
GameCube, PlayStation 2, Xbox
Téléphone(s) mobile(s) :
téléphone mobile
Langue
Multilingue
Version
1.01
Évaluation
PEGI 16 (d)
Tom Clancy's Rainbow Six
Rainbow Six 3 (2003) Critical Hour (2006)
modifier - modifier le code - modifier Wikidata"
4694,4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009.0,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,no_data
4695,4697,Cool Boarders 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,0.41,"Cool Boarders 2001
Développeur
Idol Minds
Éditeur
Sony Computer Entertainment
Date de sortie
PlayStation
23 octobre 2000
PlayStation 2
21 mai 2001
Franchise
Cool Boarders (en)
Genre
Sport (snowboard)
Mode de jeu
Solo, multijoueur
Plateforme
PlayStation, PlayStation 2
modifier - modifier le code - modifier Wikidata"
4696,4698,Grudge Warriors,PS,1999.0,Action,Take-Two Interactive,0.23,0.16,0.0,0.03,0.41,no_data
4697,4699,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41,no_data
4698,4700,Destiny: The Taken King,PS3,2015.0,Shooter,Activision,0.16,0.17,0.02,0.06,0.41,no_data
4699,4701,Mobile Suit Gundam,SAT,1995.0,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,"Cet article possède un paronyme, voir Goundam."
4700,4702,Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,0.28,0.1,0.0,0.03,0.41,no_data
4701,4703,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009.0,Shooter,Activision,0.17,0.15,0.0,0.09,0.41,no_data
4702,4704,Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41,"Pour un article plus général, voir Wolfenstein (série de jeux vidéo)."
4703,4705,James Patterson Women's Murder Club: Games of Passion,DS,2009.0,Adventure,THQ,0.15,0.22,0.0,0.05,0.41,no_data
4704,4706,Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.21,0.16,0.0,0.04,0.41,no_data
4705,4707,Jimmy Neutron: Boy Genius,PS2,2002.0,Platform,THQ,0.2,0.16,0.0,0.05,0.41,no_data
4706,4708,Itadaki Street DS,DS,2007.0,Misc,Square Enix,0.0,0.0,0.41,0.0,0.41,no_data
4707,4709,Castlevania: Order of Ecclesia,DS,2008.0,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.03,0.41,"Castlevania
Order of Ecclesia
Développeur
Konami
Éditeur
Konami
Réalisateur
Akihiro Minakata
Scénariste
Katuyuki Kuriyama
Kei Shigema
Takayoshi Kakehashi
Tomohiro Takeda
Compositeur
Michiru Yamane
Yasuhiro Ichihashi
Producteur
Koji Igarashi
Date de sortie
AN : 21 octobre 2008
JAP : 23 octobre 2008
KOR : 27 octobre 2008
EUR : 6 février 2009
AUS : 12 mars 2009
Genre
Metroidvania
Mode de jeu
Un à quatre joueur(s)
Plateforme
Nintendo DS
Langue
Multilingue
Évaluation
CERO : B ?
ESRB : T ?
PEGI : 12+ ?
Site web
www.konami.jp/gs/game/dracula_ds3
Castlevania
The Dracula X Chronicles (2007) Castlevania Judgment (2009)
modifier - modifier le code - modifier Wikidata"
4708,4710,BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,0.21,0.08,0.09,0.04,0.41,"Cet article ne cite pas suffisamment ses sources (décembre 2018).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4709,4711,X-Men: The Official Game,PS2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41,"X-Men, le jeu officiel
Développeur
Z-Axis Games
WayForward (GBA)
Amaze Entertainment (DS)
Hypnos (GC)
Beenox (PC)
Éditeur
Activision
Compositeur
Jeff Dodson (en)
Date de sortie
16 mai 2006
Genre
Action
Mode de jeu
Solo
Plateforme
PlayStation 2, Xbox, Xbox 360, Game Boy Advance, Nintendo DS, Nintendo GameCube, Windows
Évaluation
PEGI 12 (d)
modifier - modifier le code - modifier Wikidata"
4710,4712,300: March to Glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,"300
March to Glory
Développeur
Collision Studios
Éditeur
Warner Bros. Games
Date de sortie
AN 27 février 2007
EUR 30 mars 2007
Genre
Hack 'n' slash
Mode de jeu
Solo
Plateforme
PlayStation Portable
Moteur
Vicious Engine (en)
Évaluation
PEGI 18 (d)
modifier - modifier le code - modifier Wikidata"
4711,4713,E0: Enemy Zero,SAT,1996.0,Adventure,Sega,0.0,0.0,0.41,0.0,0.41,no_data
4712,4714,Nicktoons: Unite!,PS2,2005.0,Adventure,THQ,0.34,0.01,0.0,0.06,0.41,no_data
4713,4715,Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,0.28,0.1,0.0,0.04,0.41,no_data
4714,4716,Spore Hero,Wii,2009.0,Simulation,Electronic Arts,0.36,0.03,0.0,0.03,0.41,no_data
4715,4717,Mass Effect Trilogy,PS3,2012.0,Action,Electronic Arts,0.37,0.0,0.0,0.04,0.41,no_data
4716,4718,NASCAR Racing,PS,1996.0,Racing,Pioneer LDC,0.23,0.16,0.0,0.03,0.41,"NASCAR Racing
Développeur
Papyrus Design Group
Éditeur
Papyrus Design Group
Sierra Entertainment
Date de sortie
1994
Genre
Course
Mode de jeu
Solo, multijoueur
Plateforme
Ordinateur(s) :
DOS, Mac
Console(s) :
PlayStation
modifier - modifier le code - modifier Wikidata"
4717,4719,LEGO Jurassic World,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0.0,0.09,0.41,"Pour les articles homonymes, voir Jurassic World (homonymie)."
4718,4720,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009.0,Misc,Hudson Soft,0.0,0.0,0.41,0.0,0.41,no_data
4719,4721,Up,PSP,2009.0,Action,THQ,0.24,0.1,0.0,0.07,0.41,"► Sigles de 2 caractères
  Sigles de 3 caractères
  Sigles de 4 caractères
  Sigles de 5 caractères
  Sigles de 6 caractères
  Sigles de 7 caractères
  Sigles de 8 caractères"
4720,4722,Spider-Man: Web of Shadows,X360,2008.0,Action,Activision,0.36,0.02,0.0,0.03,0.41,"Spider-Man
Le Règne des ombres
Développeur
Treyarch, codéveloppé avec Shaba Games
Aspyr (PC)
Griptonite Games (DS)
Amaze Entertainment (PS2, PSP)
Éditeur
Activision Blizzard
Compositeur
Jamie Christopherson (en)
Date de sortie
USA : 21 octobre 2008
EUR : 24 octobre 2008
Genre
Action
beat them all (PSP)
Mode de jeu
Un joueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PS2, PS3, Wii, Xbox 360
Console(s) portable(s) :
Nintendo DS, PSP
Évaluation
PEGI : 12+ ?
modifier - modifier le code - modifier Wikidata"
4721,4723,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41,no_data
4722,4724,SpongeBob SquigglePants,Wii,2011.0,Misc,THQ,0.36,0.03,0.0,0.03,0.41,no_data
4723,4725,Cars: Race-O-Rama,PSP,2009.0,Racing,THQ,0.29,0.07,0.0,0.06,0.41,"Cet article ne cite pas suffisamment ses sources (avril 2020).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4724,4726,Fantastic Pets,X360,2011.0,Simulation,THQ,0.3,0.08,0.0,0.03,0.41,no_data
4725,4727,Command & Conquer: Red Alert,PS,1997.0,Strategy,Virgin Interactive,0.23,0.16,0.0,0.03,0.41,no_data
4726,4728,Star Wars The Clone Wars: Republic Heroes,DS,2009.0,Action,LucasArts,0.23,0.14,0.0,0.04,0.41,no_data
4727,4729,Dig Dug,NES,1985.0,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,"Dig Dug
Développeur
Namco
Éditeur
Namco, Atari (États-Unis)
Date de sortie
19 avril 1982
Genre
Action, labyrinthe
Mode de jeu
Un joueur, 2 joueurs
Plateforme
Arcade (Namco Galaga), Consoles, Atari 2600, Atari 5200, Atari 7800, ColecoVision, Famicom Disk System, NES, Game Boy, Game Boy Advance, Intellivision, Xbox One, Xbox 360, Wii, Wii U, Nintendo 3DS, Ordinateurs, Apple II, Atari 8-bit, Commodore 64, Commodore VIC-20, Thomson TO8, IBM PC, MSX, Sharp X1, TI-99/4A, Téléphones, Téléphone mobile
Langue
Anglais, français, italien, allemand, espagnol, japonais
modifier - modifier le code - modifier Wikidata"
4728,4730,Ogre Battle 64: Person of Lordly Caliber,N64,1999.0,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41,"Ogre Battle 64
Person of Lordly Caliber
Développeur
Quest
Éditeur
JAP Nintendo
AN Atlus
Réalisateur
Tatsuya Azeyagi
Compositeur
Hitoshi Sakimoto
Date de sortie
14 juillet 1999
5 octobre 2000
Genre
Tactical RPG
Mode de jeu
1 joueur
Plateforme
Nintendo 64, Wii U (Console virtuelle)
Langue
Japonais, anglais
Évaluation
ESRB : T ?
Site web
www.nintendo.co.jp/n01/n64/software/nus_p_nobj/index.html
modifier - modifier le code - modifier Wikidata"
4729,4731,Superman: The New Superman Adventures,N64,1999.0,Action,Titus,0.33,0.07,0.0,0.0,0.41,no_data
4730,4732,UEFA Euro 2008 Austria-Switzerland,PS3,2008.0,Sports,Electronic Arts,0.08,0.27,0.0,0.06,0.41,no_data
4731,4733,The Terminator: Dawn of Fate,PS2,2002.0,Action,Atari,0.2,0.16,0.0,0.05,0.41,"Terminator
Un autre futur
Logo original du jeu.
Développeur
Paradigm Entertainment
Éditeur
Atari SA
Date de sortie
PlayStation 2
AN 16 septembre 2002
EUR 25 octobre 2002
Xbox
AN 18 septembre 2002
EUR 25 octobre 2002
Genre
Action
Mode de jeu
Solo
Plateforme
PlayStation 2, Xbox
modifier - modifier le code - modifier Wikidata"
4732,4734,The LEGO Movie Videogame,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0.0,0.09,0.41,no_data
4733,4735,Rogue Galaxy: Director's Cut,PS2,2007.0,Role-Playing,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,no_data
4734,4736,Armored Core,PS,1997.0,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,"Chronologie des sorties
1997 Armored Core
Armored Core: Project Phantasma
1998
1999 Armored Core: Master of Arena
2000 Armored Core 2
2001 Armored Core 2: Another Age
2002 Armored Core 3
2003 Silent Line: Armored Core
2004 Armored Core: Nexus
Armored Core: Mobile Mission
Armored Core: Nine Breaker
Armored Core: Formula Front
2005 Armored Core: Last Raven
Armored Core: Mobile 2
Armored Core: Mobile Online
2006 Armored Core 4
2007 Armored Core: Mobile 3
2008 Armored Core: Mobile 4
Armored Core: For Answer
2009 Armored Core 3 Portable
Armored Core: Silent Line Portable
2010 Armored Core: Last Raven Portable
2011
2012 Armored Core V
2013 Armored Core: Verdict Day
2014
2015
2016
2017
2018
2019
2020
2021
2022
2023 Armored Core VI: Fires of Rubicon"
4735,4737,Monster Trucks Mayhem,Wii,2009.0,Racing,Zoo Games,0.39,0.0,0.0,0.02,0.41,no_data
4736,4738,Winter Sports 2: The Next Challenge,Wii,2008.0,Sports,RTL,0.18,0.19,0.0,0.04,0.41,no_data
4737,4739,Green Day: Rock Band,X360,2010.0,Misc,MTV Games,0.24,0.13,0.0,0.04,0.41,"Green Day
Rock Band
Développeur
Harmonix
Éditeur
Electronic Arts
Date de sortie
AN 8 juin 2010
Franchise
Rock Band
Genre
Jeu de rythme
Mode de jeu
Un joueur, multijoueur(2 à 6 joueurs!)
Plateforme
PlayStation 3, Xbox 360, Wii
Site web
www.greendayrockband.com
modifier - modifier le code - modifier Wikidata"
4738,4740,Densha De Go! 2,PS,1999.0,Simulation,Taito,0.0,0.0,0.38,0.03,0.41,"Densha de Go!
Genre
Simulation ferroviaire
Développeur
Taito, AI, CyberFront, Ongakukan, TOSE, Square Enix
Éditeur
Taito, CyberFront, SNK, Ongakukan, Square Enix
Premier jeu
1997 : Densha de Go!
Plate-forme
Borne d'arcade, Dreamcast, Game Boy Color, Neo-Geo Pocket Color, Nintendo 64, Nintendo DS, PlayStation, PlayStation 2, PlayStation Portable, Saturn, Wii, Windows, WonderSwan
Site web
denshadego.net
modifier - modifier le code - modifier Wikidata"
4739,4741,Transformers: Fall of Cybertron,PS3,2012.0,Action,Activision,0.19,0.15,0.0,0.07,0.41,"Cet article n’est pas rédigé dans un style encyclopédique (avril 2015).
Vous pouvez améliorer sa rédaction !"
4740,4742,Call of Duty: Advanced Warfare,PC,2014.0,Shooter,Activision,0.14,0.23,0.0,0.04,0.41,"afficher
Cette section ne cite pas suffisamment ses sources (juillet 2017). "
4741,4743,Disney Princess: Enchanting Storybooks,Wii,2011.0,Misc,THQ,0.26,0.11,0.0,0.04,0.41,no_data
4742,4744,Monopoly Streets,PS3,2010.0,Misc,Electronic Arts,0.16,0.18,0.0,0.07,0.41,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
4743,4745,Band Hero,PS2,2009.0,Misc,Activision,0.15,0.06,0.0,0.2,0.41,"Cet article ne cite pas suffisamment ses sources (novembre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4744,4746,The Wonderful 101,WiiU,2013.0,Action,Nintendo,0.2,0.1,0.08,0.03,0.41,"The Wonderful 101
Développeur
Platinum Games
Nintendo SPD
Éditeur
Nintendo
Réalisateur
Hideki Kamiya (directeur)
Atsushi Inaba
Hitoshi Yamagami (producteurs)
Compositeur
Norihiko Hibino
Producteur
Atsushi Inaba
Date de sortie
Wii U
EUR : 23 août 2013
JAP : 24 août 2013
AUS : 24 août 2013
AN : 15 septembre 2013

Nintendo Switch, PlayStation 4, Windows
AN : 19 mai 2020
EUR : 22 mai 2020
JAP : 11 juin 2020
Genre
Action
Mode de jeu
Un joueur, multijoueur
Plateforme
Wii U, Nintendo Switch, PlayStation 4, Microsoft Windows, Amazon Luna
Site web
www.thewonderful101.nintendo.com
modifier - modifier le code - modifier Wikidata"
4745,4747,No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41,"Cet article ne cite pas suffisamment ses sources (juin 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4746,4748,Battlefield 2: Modern Combat,X360,2006.0,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,"Cet article ne cite pas suffisamment ses sources (décembre 2018).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4747,4749,Armored Core 2: Another Age,PS2,2001.0,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,"Armored Core 2
Another Age
Développeur
From Software
Éditeur
Agetec
Date de sortie
JAP : 12 avril 2001
USA : 22 août 2001
EUR : 27 septembre 2002
Franchise
Armored Core
Genre
action, Jeu de tir à la troisième personne, Jeu de simulation
Mode de jeu
Un joueur, Multijoueur
Plateforme
PlayStation 2
Site web
www.armoredcore.net/top
modifier - modifier le code - modifier Wikidata"
4748,4750,Buzz! Junior: Jungle Party,PS2,2006.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,no_data
4749,4751,Mortal Kombat: Deadly Alliance,GC,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41,"↑ (en) Gerstmann, Jeff, « Mortal Kombat: Deadly Alliance Review » [archive], GameSpot, 20 novembre 2002 (consulté le 26 février 2014)
↑ (en) Provo, Frank, « Mortal Kombat: Deadly Alliance Review » [archive], GameSpot, 7 janvier 2003 (consulté le 26 février 2014)
↑ (en) Dunham, Jeremy, « IGN: Mortal Kombat: Deadly Alliance » [archive], IGN, 19 novembre 2002 (consulté le 26 février 2014)
↑ (en) Harris, Craig, « IGN: Mortal Kombat: Deadly Alliance » [archive], IGN, 20 novembre 2002 (consulté le 26 février 2014)
↑ Vincent Oms, Mortal Kombat: Deadly Alliance - Arrache-Koeur, février 2003, Jeux vidéo Magazine n°29, p. 52-54.
↑ Dinowan, Test du jeu Mortal Kombat: Deadly Alliance (PS2) [archive], 29 janvier 2003, Jeuxvideo.com.
↑ Dinowan, Test du jeu Mortal Kombat: Deadly Alliance (GBA) [archive], 3 février 2003, Jeuxvideo.com."
4750,4752,Marvel: Ultimate Alliance,Wii,2006.0,Role-Playing,Activision,0.37,0.01,0.0,0.03,0.41,"Cet article ne cite pas suffisamment ses sources (juillet 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4751,4753,NBA 2K11,PS2,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,"NBA 2K11
Développeur
Visual Concepts
2K China (PSP)
Éditeur
2K Sports
Date de sortie
USA : 5 octobre 2010
FRA : 8 octobre 2010
Genre
Sport
Mode de jeu
Un à 7 joueurs en local et jusqu'à 10 en ligne
Plateforme
PlayStation 3, Xbox 360, PlayStation 2, Wii, PlayStation Portable, PC
Évaluation
PEGI : 3 ?
NBA 2K
NBA 2K10 NBA 2K12
modifier - modifier le code - modifier Wikidata"
4752,4754,AKB1/48: Idol to Koishitara...,PSP,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,no_data
4753,4755,Pro Pinball,PS,1996.0,Misc,Empire Interactive,0.23,0.15,0.0,0.03,0.41,no_data
4754,4756,'98 Koshien,PS,1998.0,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,no_data
4755,4757,NBA 2K9,PS2,2008.0,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,"NBA 2K9
Développeur
Visual Concepts
Éditeur
2K Sports
Date de sortie
10 octobre 2008
Genre
Sport
Mode de jeu
Un à 7 joueurs en local et jusqu'à 10 en ligne
Plateforme
PlayStation 3, Xbox 360, PlayStation 2, PC
Évaluation
PEGI : 3+ ?
NBA 2K
NBA 2K8 NBA 2K10
modifier - modifier le code - modifier Wikidata"
4756,4758,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.4,0.01,0.41,no_data
4757,4759,Speed Racer: The Videogame,Wii,2008.0,Racing,Warner Bros. Interactive Entertainment,0.36,0.02,0.0,0.03,0.41,no_data
4758,4760,Naughty Bear,X360,2010.0,Action,505 Games,0.21,0.16,0.0,0.04,0.41,"afficher
Cette section ne cite pas suffisamment ses sources (septembre 2017). "
4759,4761,Littlest Pet Shop,Wii,2008.0,Simulation,Electronic Arts,0.34,0.04,0.0,0.03,0.41,"Cet article est une ébauche concernant le jeu.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) selon les recommandations des projets correspondants."
4760,4762,TNA iMPACT!,PS3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.41,Ring hexagonal utilisé par la TNA de 2004 a 2010.
4761,4763,Just Dance Kids 2,X360,2011.0,Misc,Ubisoft,0.29,0.09,0.0,0.03,0.41,"Pour les articles homonymes, voir Just Dance."
4762,4764,Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41,"Duke Nukem Forever
Développeur
3D Realms puis Gearbox Software
Éditeur
GT Interactive (1997–1999)
GoD (1999–2001)
Take-Two (2001–2009)
2K Games (2010)
Réalisateur
George Broussard
Début du projet
Janvier 1997
Date de sortie
USA : 14 juin 2011
INT : 10 juin 2011
Franchise
Duke Nukem
Genre
Tir à la première personne
Mode de jeu
Un joueur, multijoueur
Plateforme
Windows, Xbox 360, PlayStation 3, Macintosh
Langue
Anglais, Français
Moteur
Unreal Engine 2 (fortement modifié)
Évaluation
PEGI 18 (d)
Site web
www.dukenukemforever.com
modifier - modifier le code - modifier Wikidata"
4763,4765,Hatsune Miku: Project Diva 2nd,PSP,2010.0,Misc,Sega,0.0,0.0,0.41,0.0,0.41,"[afficher]
Liste des chansons
 "
4764,4766,Marvel: Ultimate Alliance 2,PS2,2009.0,Role-Playing,Activision,0.23,0.02,0.0,0.16,0.41,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4765,4767,Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
4766,4768,"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005.0,Platform,Midway Games,0.34,0.01,0.0,0.06,0.41,"Ed, Edd n Eddy
The Mis-Edventures
Développeur
Artificial Mind and Movement
Éditeur
Midway Games
Compositeur
Patric Caird (en)
Date de sortie
30 septembre 2005
Genre
Plates-formes
Mode de jeu
Solo
Plateforme
Ordinateur(s) :
Windows
Console(s) :
GameCube, PlayStation 2, Xbox
Console(s) portable(s) :
Game Boy Advance
Évaluation
PEGI 3 (d)
modifier - modifier le code - modifier Wikidata"
4767,4769,Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0,0.41,no_data
4768,4770,Disney's Tarzan Untamed,PS2,2001.0,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41,no_data
4769,4771,Borderlands: The Handsome Collection,XOne,2015.0,Shooter,Take-Two Interactive,0.24,0.13,0.0,0.04,0.41,"Aperçu des notes reçues
Presse numérique
Média PS4 Xbox One
GameSpot (US) 8 / 10 14 8 / 10 14
GamesRadar+ (US) 15 15
IGN (US) 8.4 / 10 16 8.4 / 10 16
Agrégateurs de notes
Média PS4 Xbox One
Metacritic 82 / 100 17 80 / 100 18
modifier"
4770,4772,The Gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,0.26,0.11,0.0,0.04,0.41,"The Gunstringer
Développeur
Twisted Pixel Games
Éditeur
Microsoft Studios
Date de sortie
2011
Genre
Jeu de tir à la première personne
Mode de jeu
Solo
Plateforme
Xbox 360
Site web
www.thegunstringer.com
modifier - modifier le code - modifier Wikidata"
4771,4773,Knockout Kings 2001,PS,2000.0,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41,"Knockout Kings 2001
Développeur
Electronic Arts
Black Ops Entertainment (PS2)
Éditeur
Electronic Arts
Date de sortie
2000
Genre
Boxe
Plateforme
PlayStation, PlayStation 2
Évaluation
ESRB : T ?
modifier - modifier le code - modifier Wikidata"
4772,4774,From Russia With Love,PS2,2005.0,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41,"From Russia With Love
Données clés
Titre original ルパン三世『ロシアより愛をこめて』
Rupan Sansei: Roshia yori Ai wo Komete
Réalisation Osamu Dezaki
Scénario Hiroshi Kashiwabara d'après Monkey Punch
Acteurs principaux
Yasuo Yamada
Sociétés de production Nippon Television Network Corporation
TMS Entertainment
Pays de production Japon
Genre Policier
Durée 90 minutes
Première diffusion 1992
Pour plus de détails, voir Fiche technique et Distribution"
4773,4775,FIFA Soccer 13,PC,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41,no_data
4774,4776,Asura's Wrath,PS3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.41,"Asura's Wrath
Développeur
CyberConnect2
Éditeur
Capcom
Date de sortie
USA : 21 février 2012
JAP : 23 février 2012
EUR : 24 février 2012
Genre
beat them all
Mode de jeu
Un joueur
Plateforme
PlayStation 3, Xbox 360
Moteur
Unreal Engine 31
Évaluation
ESRB : M ?
PEGI : 16 ?
Site web
www.capcom.co.jp/asura
modifier - modifier le code - modifier Wikidata"
4775,4777,Avatar: The Game,DS,2009.0,Action,Ubisoft,0.19,0.18,0.0,0.04,0.41,no_data
4776,4778,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009.0,Misc,Mentor Interactive,0.38,0.0,0.0,0.03,0.41,no_data
4777,4779,Minority Report: Everybody Runs,PS2,2002.0,Action,Activision,0.2,0.15,0.0,0.05,0.41,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
4778,4780,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003.0,Misc,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,no_data
4779,4781,NFL GameDay 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,no_data
4780,4782,Pengo,2600,1983.0,Adventure,Atari,0.38,0.02,0.0,0.0,0.4,no_data
4781,4783,Disney Sing It! High School Musical 3: Senior Year,PS3,2008.0,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.07,0.4,no_data
